Name;Alias;Description;Price;Image;CategoryName;CategoryImage;CategoryType
Banh my Hoi An;banh my hoi an;vietnamesische Baguette mit gebratenes Schweinefleisch, hausgemachte Pate, Käse, Chili, Soße und Kräuter;3,5;;test;bread;food
Banh my Ha Noi;banh my ha noi;vietnamesische Baguette mit Wurst, gebratenes Schweinefleisch, Käse, Tomaten Soße und Kräuter;3,5;;test;;
banh my Thap cam;banh my thap cam;vietnamesische Baguette mit gebratenes Scheinefleisch, hausgemachte Pate, Ei, Käse, Chili und Kräuter;3,5;;test;;
banh my trung op la;banh my trung op la;vietnamesische Baguette mit Spiegelei, Käse, Soße, Chili und Kräuter;3,5;;test;;
Banh my Vegan;banh my vegan;vietnamesische Baguette mit Tofu, Kokosmilch, Sojasauce, Tomaten, Gurken und Kräuter;3,5;;test;;
Banh bao;banh bao;hausgemachte Teigtasche mit Füllung aus Fleisch, Ei und Gemüse;3,5;;test;;
Xoi;xoi;hausgemachte Kleberreis mit vietnamesische Wurst;3,5;;test;;
Kem Xoi;kem xoi;hausgemachte Kleberreis mit Eis und trockene Kokosstücke;3,5;;test;;
Kem Xoi;kem xoi;hausgemachte Kleberreis mit Eis und trockene Kokosstücke;3,5;;Test 2;bread;drink
