Name;Alias;Description;Price;PriceMenu;Image;MenuName;MenuAlias;MenuDescription;MenuImage
Bánh mỳ Hội An;;vietamesische Baguette mit gebratenes Schweinefleisch, hausgemachte Pate, Käse, Chili Soße und Kräuter;3,9;5,9;banh_my_hoi_an;Vietnamesische Frühstück;;;menu_fruehstueck
Bánh mỳ Hà Nội;;vietnamesische Baguette mit Wurst, gebratenes Schweinefleisch, Käse, Tomaten Soße und Kräuter;4,2;6,5;banh_my_ha_noi;;;;
Bánh mỳ trứng ốp la;;vietnamesische Baguette mit Spiegelei, Käse, Chili Soße und Kräuter;3,9;5,4;banh_my_trung_op_la;;;;
Bánh mỳ Vegan;;hausgemachte Teigtasche mit Füllung aus Fleisch, Ei und Gemüse;3,9;5,4;banh_bao;;;;
Bánh bao;;hausgemachte Kleber-Reis mit vietnamesische Wurst und Crispy Fried Shallots;3,9;5,4;xoi;;;;
Xôi;;;;;;;;;
